identifier,lat,lon
B314,50.0960949,19.0107702
B315,50.1117133,19.0040567
B316,50.1158005,18.9911729
B317,50.1068773,18.9977703
B318,50.0956321,18.9873136
B319,50.8394120,12.9501147
B320,51.0514138,17.0591999
B321,51.0396958,17.0617266
B322,50.2899529,18.9656087
B323,50.8382197,12.9021780
B324,50.3060786,18.7714615
B325,50.3091805,18.7669604
B326,50.3128533,18.7732533
B327,50.2676883,18.9741196
B328,50.3204700,18.6604234
B329,49.6002672,18.0105532
B330,49.3354667,17.9956373
B331,49.6009354,18.1481122
B332,49.4771086,17.9641089
B333,49.7716104,18.4454806
B334,49.9000290,18.3540997
B335,49.8628940,18.5540772
B336,49.8708264,18.4256277
B337,49.8291973,18.1881403
B338,49.0702337,17.4637336
B339,49.2746274,16.9945442
B340,50.2824413,18.9120364
B341,50.0691905,18.3423614
B342,50.1346594,18.9921029
B343,49.8094479,19.0575060
B344,50.2585536,18.9334532
B345,50.7861361,15.7599390
B346,51.0563816,13.7655042
B347,50.1959811,18.9785730
B348,50.1937753,18.9837150
B349,50.2059554,18.9791150
B350,50.1998417,18.9756643
B351,50.2879737,18.8765439
B352,50.9154633,17.5199868
B353,50.8585532,17.4777266
B354,49.0207341,12.0552844
B355,49.0132672,12.0479834
B356,51.0746552,17.0050209
B357,50.8551905,17.4771532
B358,49.9677313,14.3865540
B359,49.9676996,14.3865111
B360,50.2920800,18.9456131
B361,50.2937697,18.9434531
B362,50.2945471,18.9426345
B363,50.9751877,16.3647844
B364,50.7847018,16.0284876
B365,49.6726597,12.1500184
B366,49.5738676,18.8931843
B367,50.6707870,18.6795577
B368,49.6621230,12.1594009
B369,49.9695878,18.9452146
B370,49.9679662,18.9504606
B371,49.6953575,12.1600562
B372,51.0989369,17.0479339
B373,50.2116371,18.7785995
B374,50.0551448,18.9365072
B375,51.0505972,13.7832720
B376,50.8530099,12.0766609
B377,50.4635469,17.3274949
B378,50.9086724,12.8047196
B379,50.2617670,19.0082884
B380,51.0216425,16.9232060
B381,48.5657911,12.1023625
B382,48.5468594,12.1280683
B383,50.4552095,17.3411542
B384,50.4890636,17.3479844
B385,50.4823981,17.3086049
B386,50.4853763,17.3418342
B387,50.4768050,17.3214875
B388,50.8754332,18.4168805
B389,50.5904390,16.5091010
B390,50.5835063,16.5034230
B391,50.5799692,16.5054933
B392,50.6694299,16.6003306
B393,50.3216407,19.0730123
B394,51.0894011,17.0327184
B395,50.2731421,18.8648107
B396,50.2747910,18.8635897
B397,50.1795591,18.9634699
B398,51.0955651,16.9333914
B399,51.0886368,17.0473216
B400,51.0960862,16.9833984
B401,50.2859087,18.6670015
B402,50.2815000,18.6692912
B403,49.9879928,18.6246405
B404,49.9904129,18.6182117
B405,50.5899036,16.8234553
B406,50.2898310,18.7198010
B407,50.2884448,18.7240671
B408,50.2933019,18.7253746
B409,50.2915904,18.7317524
B410,50.2862271,18.7304912
B411,50.4898583,12.6515101
B412,49.4418898,18.7893684
B413,50.0626629,18.4136415
B414,49.9786980,18.5029893
B415,50.1545218,18.5991077
B416,50.5985588,17.3821431
B417,51.0896062,14.6684445
B418,50.1513193,14.5071999
B419,50.2706684,19.0203833
B420,50.2336512,18.6625384
B421,49.7330827,18.7426410
B422,49.0586247,13.7783628
B423,50.3532802,19.0766652
B424,50.1472131,16.6678891
B425,51.0623050,16.1808615
B426,51.0732190,16.0910579
B427,51.0503657,16.1893736
B428,51.0444403,16.2030398
B429,51.0594552,16.1869668
B430,51.0963713,16.3164162
B431,51.0274182,16.1829297
B432,51.0842201,15.9440387
B433,51.0542086,16.1957416
B434,51.0362070,16.4559107
B435,50.1906190,18.6244309
B436,50.9147330,13.3653830
B437,50.2963392,18.6743450
B438,50.7844638,16.0307365
B439,50.1044520,18.4767580
B440,50.1056983,18.4426726
B441,50.6414392,17.6295244
B442,50.6412561,17.6260699
B443,50.8167097,12.9488058
B444,49.4507326,17.4700811
B445,49.0137689,12.1283785
B446,51.0401658,16.9687612
B447,51.0372996,16.9686878
B448,51.0351728,16.9683894
B449,49.7388816,13.6008014
B450,51.0850489,16.9068267
B451,50.8066204,16.2550422
B452,50.9066896,18.9324392
B453,48.8250422,14.3319853
B454,49.5601661,15.9447785
B455,50.7521564,16.5271470
B456,49.3128857,14.1458921
B457,49.3035071,14.1591512
B458,50.1298158,18.9714662
B459,50.6942948,16.6284057
B460,50.7107261,16.6496026
B461,50.6903519,16.6229669
B462,51.0428290,17.8864365
B463,48.7919486,18.5875905
B464,50.8592894,17.4655974
B465,50.8629020,15.6876621
B466,50.8323501,15.6853229
B467,50.8442871,15.6415396
B468,50.2586205,19.0186730
B469,50.1350914,14.4997063
B470,48.7836034,18.6267433
B471,49.8339246,18.3876901
B472,50.2685354,18.8948091
B473,51.0723404,16.9975003
B474,51.0800393,17.2441132
B475,51.0575033,16.1980702
B476,50.9616586,17.3924085
B477,50.2975766,18.9340210
B478,51.0518029,13.7148833
B479,49.0808083,15.4194648
B480,50.9750533,18.2176038
B481,50.9766619,18.2174517
B482,50.8744414,18.4149582
B483,48.8018193,14.3106083
B484,48.8243446,14.3321573
B485,49.8151791,19.0513052
B486,50.2896885,19.0752077
B487,50.6116078,18.4737757
B488,50.6048052,18.4877110
B489,50.5783937,18.5219123
B490,50.6781906,17.8888495
B491,50.2983024,18.6460688
B492,50.2623893,19.0194017
B493,51.0329208,15.4205313
B494,50.6852290,16.6126900
B495,50.0550190,14.2295675
B496,50.0612407,14.2255850
B497,51.0363645,15.4182918
B498,50.5972422,16.5089657
B499,48.8126507,18.5827893
B500,49.5869473,18.1228548
B501,50.5796402,16.4977246
B502,51.0892990,17.0453239
B503,50.1197969,18.9891782
B504,50.0704134,14.5104704
B505,50.0451682,14.4479766
B506,50.6724378,17.9624125
B507,50.6848890,17.9534595
B508,50.1464499,14.4516471
B509,48.8832505,12.6058762
B510,48.8635529,12.5760917
B511,48.8770201,12.5537051
B512,48.9889465,12.1425356
B513,50.0101181,18.2309579
B514,49.9867830,15.7168239
B515,51.0928500,17.0214029
B516,49.0718648,12.1863219
B517,48.5594470,13.4232742
B518,48.5577583,13.4179476
B519,50.6745254,17.9690443
B520,50.6709319,17.9698911
B521,50.6706432,17.9693281
B522,49.2235175,16.6248370
B523,49.6925284,12.1356523
B524,51.0255511,15.4155318
B525,50.0042946,18.8737547
B526,50.3141595,18.6920554
B527,50.3088908,18.6843639
B528,50.0114329,18.9477609
B529,50.5946084,16.8138035
B530,50.5963197,16.8102114
B531,50.0950506,18.5262090
B532,50.3221164,19.0103734
B533,50.2909249,18.6723843
B534,50.6537863,18.3845020
B535,51.0687233,17.0561082
B536,50.2590115,18.9691254
B537,48.5289926,12.1422165
B538,49.7940156,18.6060725
B539,50.3141914,17.5635043
B540,50.3212776,17.5664668
B541,50.3204282,17.5820547
B542,50.3215948,17.5950893
B543,50.3241674,17.5893771
B544,50.3229044,17.5887620
B545,50.3216864,17.5873968
B546,50.3003765,19.0148273
B547,51.0733170,17.0375801
B548,51.0728658,17.0411134
B549,50.3032607,19.0128073
B550,50.3017321,19.0248032
B551,50.3045177,19.0054412
B552,50.3161343,19.0020579
B553,50.3198903,19.0096326
B554,50.3227708,19.0034880
B555,50.1116632,18.9614695
B556,50.3400031,18.9346216
B557,50.0780966,14.6483863
B558,50.4770026,16.1782358
B559,49.7236089,18.9090954
B560,48.8100519,14.3196513
B561,50.6478739,17.8659672
B562,50.3671719,18.8507329
B563,50.8486363,12.9447048
B564,50.9673341,13.1202519
B565,50.6354040,17.8237948
B566,50.6482224,17.9073160
B567,49.2089738,16.6871527
B568,51.0560627,17.0244148
B569,51.0475880,17.0275052
B570,49.7196682,18.8076194
B571,48.8830159,18.0324993
B572,48.7815285,18.6453840
B573,49.8711676,18.8085295
B574,50.1845501,18.9691571
B575,50.1118209,18.9876000
B576,51.0563187,16.8883699
B577,51.0765906,16.8943608
B578,51.0955393,16.9621026
B579,49.9931952,16.2178057
B580,50.1747617,18.8986456
B581,50.1788511,18.8855281
B582,50.1822349,18.8823667
B583,50.1813788,18.8844190
B584,50.1698490,18.9014106
B585,50.1667050,18.9041709
B586,50.1660673,18.9038953
B587,50.8248509,17.7431998
B588,50.8750451,17.7103930
B589,50.3493244,14.4893318
B590,49.7944278,18.7836470
B591,50.2976013,18.7765589
B592,50.3548805,18.8620462
B593,50.8100873,12.9653942
B594,50.2652288,18.9362614
B595,51.0487619,17.0236920
B596,50.0024083,18.4705505
B597,50.8871455,14.8245346
B598,50.8777678,19.0548220
B599,50.2080028,18.9820053
B600,50.2356274,18.6609883
B601,50.8193743,12.3922187
B602,50.6969044,12.4601607
B603,50.3010448,19.0141364
B604,50.0177681,19.0954079
B605,50.0118147,19.0979289
B606,50.5501148,16.5489335
B607,50.5431341,16.5548509
B608,50.8996472,14.7940591
B609,51.0278933,14.2186747
B610,50.1177871,18.2792409
B611,50.6006663,12.6394919
B612,49.2251837,16.5303505
B613,50.0679468,14.4936414
B614,48.9800555,12.0668281
B615,50.9036591,15.7270653
B616,50.0603784,14.2280043
B617,51.0817172,16.2579184
B618,51.0161770,18.0530363
B619,50.2900119,18.6953334
B620,50.1924145,18.4505261
B621,50.2701932,19.0239067
B622,50.1286212,14.4925667
B623,50.1285511,14.4926324
B624,51.0952476,17.0563981
B625,50.9375964,15.2964603
B626,50.1195723,14.4988329
B627,48.5470470,12.1127143
B628,50.8740078,15.9195812
B629,49.2322410,16.6178856
B630,51.0997141,17.1585991
B631,49.7941364,18.3700347
B632,50.1013632,18.5425971
B633,51.0624740,17.0013597
B634,49.6853270,18.3290360
B635,49.8218952,13.7821327
B636,50.8094586,12.8919658
B637,50.8026354,12.8866786
B638,50.8314094,12.8919737
B639,50.0879097,18.5875276
B640,50.0938814,18.5685844
B641,50.0768366,18.6194489
B642,49.3005316,16.6515153
B643,49.3015565,16.6498380
B644,50.2863320,18.6228672
B645,50.2877634,18.6330054
B646,50.2816585,18.5969552
B647,50.2715585,18.9391959
B648,50.1776242,18.9664570
B649,50.0705123,14.5101664
B650,50.0888702,18.5353010
B651,50.0890432,18.5332272
B652,49.2064532,16.6640389
B653,50.1192546,18.5215783
B654,50.1000346,18.5621658
B655,50.1067955,18.8825933
B656,50.2236740,18.8188876
B657,50.3440379,18.8289292
B658,50.0878570,18.3573036
B659,50.8461887,12.9251859
B660,50.3531378,18.2351663
B661,50.9002239,15.7341645
B662,50.4391527,16.6524532
B663,51.0984717,17.0506143
B664,50.2252575,18.7247771
B665,49.2434990,16.6617505
B666,50.7453460,17.8685805
B667,50.6755523,17.9162475
B668,50.6096072,17.9707116
B669,50.3909449,18.1366216
B670,49.7387718,18.6203251
B671,50.8379941,12.8972089
B672,50.6282507,15.1380054
B673,51.0855968,13.6832568
B674,50.6488615,18.3498933
B675,50.1082732,18.4674783
B676,50.4456590,16.8736108
B677,50.8034353,12.7317560
B678,50.5288899,18.7177829
B679,50.7968607,12.8805718
B680,50.7959959,12.9232046
B681,50.8372416,12.9074363
B682,50.8036922,12.9121744
B683,50.8522094,12.8874583
B684,50.8315970,12.9534902
B685,49.1758267,16.5972794
B686,50.2671490,18.9728378
B687,50.8608582,12.7683187
B688,49.0559353,18.9178413
B689,49.0628624,18.9183861
B690,51.0726651,17.7159728
B691,48.7835111,18.6266679
B692,48.7706965,18.6309927
B693,48.8838112,12.6100564
B694,50.4047901,16.3875302
B695,50.3004593,18.8351166
B696,50.2986369,18.8320008
B697,50.2992221,18.8215166
B698,50.2997855,18.8236344
B699,50.6106864,18.4772115
B700,50.3118895,18.6773283
B701,50.3230350,18.6551884
B702,51.0149097,13.6454286
B703,50.0464831,14.4570369
B704,48.5644047,12.1632112
B705,50.1981321,18.5784290
B706,51.0802675,17.0686078
B707,51.0803623,17.0686333
B708,50.6064511,18.4829241
B709,50.2543457,18.7057741
B710,50.3131843,18.8864387
B711,50.2329500,18.6646875
B712,50.0980647,18.4030776
B713,50.0798183,18.3997615
B714,50.2593673,18.8662399
B715,50.2369505,18.8646904
B716,50.2548901,18.8451535
B717,50.2793436,19.0144672
B718,48.7686197,18.6015190
B719,49.2965932,16.7701219
B720,49.2978840,16.7438840
B721,51.0920850,15.9275891
B722,49.5456641,18.2110214
B723,50.9077475,14.8124069
B724,50.2537002,18.9071545
B725,50.2716022,19.0087692
B726,51.0853037,17.0453893
B727,50.2741572,19.0024661
B728,51.0974665,13.9937330
B729,49.3402914,16.7516164
B730,49.2453187,16.6661092
B731,50.8184987,12.9264091
B732,50.1184026,14.5052136
B733,50.8869611,15.7196254
B734,49.1918679,16.6121548
B735,49.2541954,16.7373325
B736,50.2311530,18.6466660
B737,50.1694843,18.3891415
B738,49.7801794,18.2544502
B739,50.2267353,19.0600110
B740,50.2266288,19.0612347
B741,50.8373023,12.9609585
B742,51.0803227,17.0229839
B743,49.0216125,13.2212227
B744,50.3393663,18.7814762
B745,50.6756351,17.9710016
B746,50.0132417,18.9327454
B747,50.0775677,12.3797521
B748,50.9105978,13.3243923
B749,51.0532667,13.7735604
B750,50.2275776,14.0887415
B751,51.0503460,17.0303636
B752,51.0142206,13.6476803
B753,49.9207442,19.0054619
B754,50.3181780,18.8158921
B755,50.3380577,18.7098733
B756,50.0531522,18.6783916
B757,48.7185823,18.5414812
B758,50.5841664,15.1116863
B759,50.6024260,15.1012053
B760,50.5946221,15.1201269
B761,49.5583347,17.1416247
B762,50.7883263,12.9263249
B763,49.2100733,16.4120368
B764,50.3157998,18.8568513
B765,50.3221099,18.8751167
B766,49.7787151,13.3700417
B767,49.7758368,13.3685186
B768,48.7710857,18.6112596
B769,48.8401466,17.2189209
B770,48.7303558,18.2476389
B771,50.3001833,18.6820028
B772,50.3218571,19.0783189
B773,51.0996187,17.0388842
B774,51.0806306,17.0625754
B775,49.0446019,16.3033922
B776,50.6588625,18.6930817
B777,50.6704869,18.6691880
B778,50.6758805,18.6866269
B779,50.6842660,18.6737631
B780,50.6756973,18.6487017
B781,50.6989382,18.6478076
B782,50.7099938,18.6838875
B783,50.7835695,12.8963206
B784,50.3182295,19.0639421
B785,50.8251680,15.6870140
B786,51.0809030,17.0847654
B787,50.2895219,18.9572778
B788,49.7508444,19.0654080
B789,49.7613162,19.0939772
B790,49.7621922,19.0879911
B791,50.7068359,12.5004478
B792,48.7749115,18.7265758
B793,50.2791436,19.0052562
B794,50.2773687,19.0083985
B795,50.9449583,17.2789194
B796,50.9447925,17.2839574
B797,50.9468335,17.3009908
B798,50.9445774,17.2964909
B799,50.9256221,17.3010395
B800,50.9112555,17.3094887
B801,50.9498076,17.2736275
B802,50.9533130,17.2715188
B803,50.9506697,17.2840386
B804,50.9478529,17.2924450
B805,50.9449948,17.2896547
B806,50.9370141,17.2687438
B807,49.2183647,16.6218160
B808,50.8865900,14.8009619
B809,50.8938278,14.8019423
B810,49.7919090,18.4400341
B811,49.2639653,14.7147918
B812,49.1720507,16.6245904
B813,51.0418146,13.7198561
B814,50.4017561,16.5677742
B815,50.0701838,14.4869046
B816,51.0297124,14.2052716
B817,48.8311896,16.7488036
B818,48.7791614,16.6967920
B819,48.8349708,16.6228732
B820,48.8741413,16.6735526
B821,48.9908480,16.3592074
B822,49.0207700,16.3768100
B823,49.0819269,16.4379926
B824,49.0112900,16.4630500
B825,49.0544757,16.4824851
B826,49.0647494,16.5227966
B827,49.0801494,16.5486943
B828,49.0523700,16.6633600
B829,49.0510334,16.6072979
B830,49.0179842,16.6019707
B831,48.9607308,16.5741811
B832,49.0312082,16.8717520
B833,48.9049392,16.6508603
B834,48.9674282,16.6548352
B835,48.9946689,16.7536312
B836,48.9662942,16.8625580
B837,48.9676694,16.8127701
B838,48.9498296,16.8000663
B839,48.9344989,16.8211654
B840,48.8729632,16.7671858
B841,48.7759178,16.7711436
B842,48.8524136,16.6981092
B843,49.1060079,16.3154747
B844,49.1256397,16.3357247
B845,49.1591013,16.2640753
B846,49.1628261,16.2999486
B847,49.1951818,16.3041030
B848,49.1701946,16.3257966
B849,49.1711893,16.3589125
B850,49.1847820,16.3681717
B851,49.2377001,16.3962303
B852,49.2835700,16.3599400
B853,49.2785052,16.2266962
B854,49.3237283,16.1673489
B855,49.4251985,16.0244212
B856,49.3911448,16.0303424
B857,49.3921564,15.8840636
B858,49.4315353,15.7224309
B859,49.3957137,15.6347290
B860,49.2534911,15.9274496
B861,49.1848071,15.7729403
B862,49.1791246,15.5946252
B863,49.1518769,15.7723318
B864,49.1091600,15.7584000
B865,49.0816502,15.7620261
B866,49.0176841,15.7734666
B867,48.9350500,15.8447000
B868,48.9207723,15.8720866
B869,48.8814585,15.9667786
B870,48.9168803,15.9854046
B871,48.7924028,16.0142853
B872,48.8468509,16.0562093
B873,48.9002279,16.0644663
B874,48.8763884,16.0764918
B875,48.8881855,16.1576754
B876,48.8157600,16.1737700
B877,48.7968714,16.3954347
B878,48.8276383,16.3967796
B879,48.8340035,16.4009347
B880,48.8700637,16.3429285
B881,48.8347443,16.2871935
B882,48.7776484,16.2694729
B883,49.8939494,16.9670346
B884,49.8179600,17.0179600
B885,49.8256669,16.9405346
B886,49.8234374,16.9207767
B887,49.7574906,16.9654642
B888,49.7158663,16.9691733
B889,49.6363835,16.9096165
B890,49.6255682,16.7522217
B891,49.5490919,16.8310985
B892,49.5096861,16.7703087
B893,49.4698323,16.7571607
B894,49.2825000,16.7578518
B895,49.2934205,16.8045447
B896,49.4322271,16.8106481
B897,49.3506990,16.8074780
B898,49.4120665,16.7534735
B899,49.4213700,16.6971600
B900,49.4252963,16.5901669
B901,49.3938700,16.6439566
B902,49.3289920,16.5980591
B903,49.3592542,16.4494607
B904,49.3679639,16.4297056
B905,49.3336612,16.5022926
B906,49.3321266,16.4786934
B907,49.2969655,16.5462455
B908,49.3160144,16.4729483
B909,49.3637477,18.3020485
B910,49.3509828,18.2375175
B911,49.4352300,18.2527700
B912,49.4379895,17.8352842
B913,49.4429500,17.8077800
B914,49.4612170,17.7591077
B915,49.4198274,17.7202123
B916,49.3774888,17.6713646
B917,49.5777709,17.4408664
B918,49.5412425,17.4273905
B919,49.5245857,17.4627326
B920,49.4742082,18.0917951
B921,49.4411240,18.0965076
B922,49.3371150,17.9926246
B923,49.3966188,17.9895544
B924,49.4699816,18.0415502
B925,49.4464702,17.9677635
B926,49.4543702,17.9783693
B927,49.4643789,17.9815767
B928,49.4637796,17.9761248
B929,49.4664083,17.9474085
B930,49.4136973,17.9236777
B931,49.6847818,18.2736295
